spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Acropora verweyi,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,verweyi,Acropora,"Veron & Wallace, 1984",,No,No,No,No,VU,-,DD,1995 (Loo & Chou),2009 (Huang et al),3,10,30,-100,-0.00114,0.312576,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies tabulate.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Guest et al 2005a; Huang et al 2009
Acropora willisae,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,willisae,Acropora,"Veron & Wallace, 1984",,No,No,No,No,VU,-,DD,"1986 (ZRC, 19860826)","1986 (ZRC, 19860826)",2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM)
Alveopora allingi,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,allingi,Alveopora,"Hoffmeister, 1925",Net coral,No,No,No,No,VU,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00318,0.360664,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Alveopora catalai,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,catalai,Alveopora,"Wells, 1968",Branching flower pot coral,No,No,No,No,NT,-,DD,"1987 (ZRC.1987.1890, Huang et al)","1987 (ZRC.1987.1890, Huang et al)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009(ZRC.1987.1890)
Alveopora excelsa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,excelsa,Alveopora,"Verrill, 1864",,No,No,No,No,EN,-,DD,1881 (Studer),1961 (Chuang),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Purchon 1956; Chuang 1961
Alveopora fenestrata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,fenestrata,Alveopora,"(Lamarck, 1816)",Flower coral,No,No,No,No,VU,-,DD,1881 (as Alveopora retusa; Studer),"1986 (ZRC, 19860400)",2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Iffah(LKCNHM)
Alveopora marionensis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,marionensis,Alveopora,"Veron & Pichon, 1982",,No,No,No,No,VU,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.00164,0.310086,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Alveopora spongiosa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,spongiosa,Alveopora,"Dana, 1846",,No,No,No,No,NT,-,DD,2009 (Huang et al),2018 (REL collections),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009
Alveopora tizardi,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Alveopora,tizardi,Alveopora,"Bassett-Smith, 1890",,No,No,No,No,LC,-,DD,2009 (Huang et al),2017 (REL collections),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",No records in WildSingapore or Lim et al 2020,Huang et al 2009
Astreopora cucullata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,cucullata,Astreopora,"Lamberts, 1980",,No,No,No,No,VU,-,DD,1986 (REST Survey),2017 (REL collections),1,10,30,-100,-0.00627,0.089533,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Astreopora expansa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,expansa,Astreopora,"(Brüggemann, 1877)",,No,No,No,No,NT,-,DD,"1991 (ZRC.1991.692, Huang et al)",2020 (Quek et al),6,10,30,,0.111326,6.30E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose.
Hermaphroditic broadcaster.",,"HA-NE, HA-SE, HA-W, HP-W, JO-S, LZ-SW, PSL-SE, SE-NW, SJ-NW, SJ-S, TPT-SW",X (SIMP),,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Huang et al 2009(ZRC.1991.695); BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Astreopora gracilis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,gracilis,Astreopora,"Bernard, 1896",,No,No,No,No,LC,-,NT,"1988 (ZRC, 19881209)",2021 (Lee et al),5,10,30,145,0.001831,0.753801,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,,X (SIMP),,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Also documented on reef flats (Lee et al 2021),Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Chow et al 2019; Lee et al 2021
Astreopora incrustans,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,incrustans,Astreopora,"Bernard, 1896",,No,No,No,No,VU,-,DD,"1984 (ZRC, 19840410)",2017 (REL collections),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM)
Astreopora listeri,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,listeri,Astreopora,"Bernard, 1896",Starflower coral,No,No,No,No,LC,-,NT,"1986 (ZRC, 19860418)",2020 (Kikuzawa et al),5,10,30,-34.34782609,-0.00674,0.645923,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HP-E, RL-W, SE-SW",,,,,,X,,,,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020
Astreopora myriophthalma,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,myriophthalma,Astreopora,"(Lamarck, 1816)",Porous star coral,No,No,No,No,LC,-,LC,1956 (as Astraeopora myriophthalma; Purchon),2020 (Lim et al),9,10,30,219.9203187,0.106884,7.18E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, foliose, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, HA-SE, HA-W, HP-E, LA-S, RL-W, SE-NW, SE-SW, SJ-NW, TKK-W",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Purchon 1956; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020
Isopora brueggemanni,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Isopora,brueggemanni,Acropora,"(Brook, 1893)",,No,No,No,No,VU,-,DD,1956 (as Acropora brueggemanni; Purchon),1995 (Loo & Chou),3,10,30,-100,-0.00235,0.342631,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching. 
Hermaphroditic brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Purchon 1956; Chuang 1961; Loo & Chou 1995
Isopora palifera,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Isopora,palifera,Acropora,"(Lamarck, 1816)",Catch bowl coral,No,No,No,No,NT,-,DD,"1991 (ZRC.1991.596, Huang et al)","1991 (ZRC.1991.596, Huang et al)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching. 
Hermaphroditic brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009(ZRC.1991.596)
Montipora aequituberculata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,aequituberculata,Montipora,"Bernard, 1897",,No,No,No,No,LC,-,DD,"1989 (ZRC, 19892301)",2019 (Chow et al),4,10,30,-100,-0.00299,0.313322,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Chow et al 2019
Montipora angulata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,angulata,Montipora,"(Lamarck, 1816)",,No,No,No,No,VU,-,DD,"1987 (ZRC, 19870216)","1992 (ZRC,N322,199206)",38,10,30,-100,-0.03925,0.00321,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, foliose, encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Kanisan 2017
Montipora capricornis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capricornis,Montipora,"Veron, 1985",,No,No,No,No,VU,-,DD,"1988 (ZRC, BB42, 19880620",Loo and Chou 1995,4,10,30,-100,-0.00392,0.467971,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose. 
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Kanisan 2017
Montipora corbettensis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,corbettensis,Montipora,"Veron & Wallace, 1984",,No,No,No,No,VU,-,NT,"1985 (ZRC, 19850722)",2019 (Chow et al),29,10,30,-33.17307692,0.025325,0.600428,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.","JO-S, RL-W, TM-S",,,,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.","May be listed as ""plate montipora"" in some intertidal areas (e.g. Sisters') by WildSingapore, but ID cannot be confirmed based on pictures alone.

In Lim et al 2020, Montipora is listed at genus level",Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Wong et al 2018; Chow et al 2019
Montipora crassituberculata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,crassituberculata,Montipora,"Bernard, 1897",,No,No,No,No,VU,-,DD,"1985 (ZRC, 19850726)",Loo and Chou 1995,5,10,30,-100,-0.00159,0.39282,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Kanisan 2017
Montipora danae,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,danae,Montipora,"Milne Edwards & Haime, 1851",Poker star montipora,No,No,No,No,LC,-,NT,"1985 (ZRC, 19850802)",2019 (Chow et al),9,10,30,54.31818182,0.008137,0.250994,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.","KU-NE, PSL-SE",,X (SIMP),,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Wong et al 2018; Chow et al 2019
Montipora digitata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,digitata,Montipora,"(Dana, 1846)",,No,No,No,No,LC,-,VU,1956 (as Montipora fruticosa; Purchon),2018 (Wong et al),31,10,30,-66.2004662,-0.00703,0.723905,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, encrusting.
Hermaphroditic broadcaster.","HA-W, PSD-NW, RL-W",,,"X (Bongiorni et al, in situ nursery)",,,,X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Found at numerous intertidal sites (Lim et al 2020),"As Montipora laevis/lavis: Purchon 1956; Chuang 1961; Chuang 1977; Chou & Teo 1983; Chou & Wong 1986; Kanisan 2017

As Montipora digitata: Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Lim et al 2020

Goh et al 1989 (anomuran symbionts); Bongiorni et al 2011 (in situ coral nursery)"
Montipora efflorescens,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,efflorescens,Montipora,"Bernard, 1897",,No,No,No,No,NT,-,NT,1956 (Purchon),2020 (Ng et al),9,10,30,-45.6,0.000559,0.76801,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.","HA-W, PSD-NW",,,,,,,X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Loo & Chou 1995; Kanisan 2017; Ng et al 2020
Montipora foliosa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,foliosa,Montipora,"(Pallas, 1766)",Cabbage coral,No,No,No,No,NT,-,NT,1956 (as Montipora prolifera; Purchon),2018 (Wong et al),7,10,30,13.07692308,0.000497,0.809469,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",RL-W,,,,,,,X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Purchon 1956; Chou & Teo 1983; Chou & Wong 1986; Loo & Chou 1995; Kanisan 2017; Wong et al 2018
Montipora grisea,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,grisea,Montipora,"Bernard, 1897",,No,No,No,No,LC,-,VU,"1985 (ZRC, 19850805)",2020 (Ng et al),21,10,30,-54.07369498,-0.04914,0.405182,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, HP-E, KU-NE, PSL-SE, RL-W, SE-SW, SJ-NW, SS-S",X (SIMP),,,,X (Raffles),X,,X,,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019; Kanisan 2017; Ng et al 2020
Montipora hispida,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,hispida,Montipora,"(Dana, 1846)",,No,No,No,No,LC,-,NT,1881 (as Montipora hispida & M. expansa; Studer),2019 (Chow et al),119,10,30,-99.60278566,-0.9981,4.56E-07,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, foliose, encrusting.
Hermaphroditic broadcaster.",RL-W,,,,,,,X,,,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Kanisan 2017; Chow et al 2019
Montipora hoffmeisteri,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,hoffmeisteri,Montipora,"Wells, 1954",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850722)",2018 (Wong et al),2,10,30,,0.022023,0.000618,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Hermaphroditic broadcaster.",RL-W,,,,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Iffah(LKCNHM); Kanisan 2017; Wong et al 2018
Montipora informis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,informis,Montipora,"Bernard, 1897",,No,No,No,No,LC,-,LC,"1954 (ZRC, 195407)",2019 (Chow et al),16,10,30,3190,0.191323,6.51E-08,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"KU-NE, LZ-E, PSL-SE, RL-W, SE-SW, SJ-S, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",,Purchon 1956; Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Wong et al 2018; Chow et al 2019
Montipora millepora,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,millepora,Montipora,"Crossland, 1952",,No,No,No,No,LC,-,DD,"1992 (ZRC, 199204)",,5,10,30,-100,-0.02241,0.117832,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Kanisan 2017
Montipora mollis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,mollis,Montipora,"Bernard, 1897",,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850701)",2019 (Chow et al),7,10,30,6610.967742,0.200956,1.53E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"HA-W, HP-E, JO-S, LZ-E, LZ-SW, PSL-SE, RL-W, SJ-NW, TM-S, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019
Montipora monasteriata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,monasteriata,Montipora,"(Forskål, 1775)",,No,No,No,No,LC,-,LC,1881 (Studer),2020 (Ng et al),24,10,30,255.9851301,0.032217,0.689349,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"HA-SE, HA-W, KU-NE, PSL-SE, RL-W",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",,Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Kanisan 2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
Montipora peltiformis,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,peltiformis,Montipora,"Bernard, 1897",,No,No,No,No,NT,-,DD,"1985 (ZRC, 19850805)","1985 (ZRC, 19850805)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive. 
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM)
Montipora spongodes,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,spongodes,Montipora,"Bernard, 1897",,No,No,No,No,LC,-,DD,"1986 (ZRC, 19850719)",2009 (Huang et al),5,10,30,-100,-0.00329,0.340492,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017
Montipora spumosa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,spumosa,Montipora,"(Lamarck, 1816)",,No,No,No,No,LC,-,DD,"1986 (ZRC, 19860418)",2009 (Huang et al),5,10,30,-100,-0.00625,0.231439,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017
Montipora stellata,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,stellata,Montipora,"Bernard, 1897",Velvet branch coral,No,No,No,No,LC,-,LC,1956 (as Montipora solanderi; Purchon),2020 (Ng et al),46,10,30,-2.452539764,0.057177,0.554361,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, branching, encrusting.
Hermaphroditic broadcaster.","HA-W, RL-W",,X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.

Also documented from other reefs in the region (Huang et al 2015).",,Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020
Montipora tuberculosa,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,tuberculosa,Montipora,"(Lamarck, 1816) ",,No,No,No,No,LC,-,NT,"1985 (ZRC, 19850721)",2020 (Ng et al),7,10,30,4.125,0.001776,0.846372,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, foliose, encrusting.
Hermaphroditic broadcaster.","KU-NE, RL-W, TM-S",,,,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Kanisan 2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
